sex,agetext,address,studytime,freetime,failures,famsup,activities,higher,romantic,goout,alc text,absences text,G1 text,G2 text,G3 text,G1,G2,G3,age,absences,Dalc,Walc,ALC
F,17,R,4,1,0,yes,no,yes,no,2,none,none,Excellent,Excellent,Excellent,18,19,19,17,0,1,1,1
F,17,U,2,4,0,yes,yes,yes,no,2,little,none,Very good,Excellent,Very good,17,18,17,17,0,2,3,2.5
F,18,U,3,3,0,yes,no,yes,no,3,little,none,Excellent,Excellent,Excellent,18,18,18,18,0,1,2,1.5
F,17,U,3,2,0,yes,no,yes,no,2,little,none,Very good,Excellent,Excellent,17,18,18,17,0,1,2,1.5
M,18,U,1,4,0,yes,no,yes,yes,2,little,none,Excellent,Excellent,Very good,18,18,17,18,0,2,2,2
F,17,U,4,2,0,yes,yes,yes,no,2,little,none,Excellent,Excellent,Excellent,18,18,18,17,0,1,2,1.5
F,17,U,3,4,0,yes,no,yes,no,3,little,none,Very good,Excellent,Very good,17,18,17,17,0,2,3,2.5
M,17,U,1,3,0,no,yes,yes,no,5,lots,none,Very good,Excellent,Very good,17,18,17,17,0,3,5,4
F,17,R,2,3,0,yes,no,yes,no,3,little,none,Very good,Excellent,Excellent,17,18,18,17,0,2,3,2.5
F,18,U,2,3,0,no,yes,yes,no,5,little,none,Excellent,Excellent,Excellent,18,18,18,18,0,1,2,1.5
F,17,U,2,3,0,yes,no,yes,no,3,little,none,Very good,Excellent,Excellent,17,18,18,17,0,1,2,1.5
F,17,U,4,2,0,no,no,yes,yes,3,little,none,Excellent,Excellent,Excellent,18,18,18,17,0,3,1,2
F,16,U,2,2,0,no,no,yes,yes,3,none,none,Very good,Very good,Excellent,17,17,18,16,0,1,1,1
M,16,U,2,3,0,yes,yes,yes,yes,2,none,none,Very good,Very good,Excellent,16,17,18,16,0,1,1,1
M,18,U,2,4,0,yes,yes,yes,no,3,none,none,Very good,Very good,Very good,17,17,17,18,0,1,1,1
F,18,U,4,3,0,yes,no,yes,no,3,none,none,Very good,Very good,Very good,16,17,17,18,0,1,1,1
F,17,U,2,3,0,yes,yes,yes,no,4,little,none,Sufficient,Very good,Very good,13,17,17,17,0,1,3,2
F,18,U,2,2,0,yes,yes,yes,no,2,none,none,Good,Very good,Very good,14,17,17,18,0,1,1,1
F,16,R,2,5,0,no,no,yes,no,2,little,none,Very good,Very good,Very good,16,17,17,16,0,1,2,1.5
F,16,R,2,3,0,yes,no,yes,no,2,none,none,Very good,Very good,Excellent,16,17,18,16,0,1,1,1
F,17,R,2,3,0,yes,yes,yes,no,2,none,none,Good,Very good,Very good,15,17,17,17,0,1,1,1
F,18,U,3,3,0,no,no,yes,no,2,none,none,Excellent,Very good,Excellent,19,17,18,18,0,1,1,1
F,18,R,3,4,0,no,no,yes,no,4,none,none,Good,Very good,Very good,15,17,17,18,0,1,1,1
F,18,R,3,3,0,no,no,yes,no,3,little,none,Good,Very good,Good,14,17,15,18,0,1,3,2
M,15,U,2,2,0,yes,no,yes,no,2,none,none,Good,Very good,Very good,15,16,17,15,0,1,1,1
F,16,R,2,4,0,yes,yes,yes,no,4,little,none,Very good,Very good,Very good,17,16,16,16,0,2,3,2.5
M,16,U,3,4,0,yes,yes,yes,yes,3,none,none,Very good,Very good,Very good,16,16,16,16,0,1,1,1
M,15,U,2,4,0,yes,yes,yes,no,4,none,none,Very good,Very good,Very good,16,16,16,15,0,1,1,1
F,16,U,2,4,0,yes,no,yes,yes,2,none,none,Very good,Very good,Very good,16,16,17,16,0,1,1,1
M,17,U,2,4,0,no,yes,yes,yes,2,lots,none,Very good,Very good,Very good,16,16,16,17,0,5,5,5
F,17,U,3,3,0,yes,no,yes,no,3,none,none,Very good,Very good,Very good,16,16,16,17,0,1,1,1
F,15,R,1,1,0,no,no,yes,no,3,none,none,Good,Very good,Very good,14,16,16,15,0,1,1,1
F,16,U,1,2,0,yes,yes,yes,yes,5,little,none,Very good,Very good,Very good,17,16,16,16,0,1,2,1.5
F,16,R,2,3,0,no,yes,yes,yes,3,little,none,Good,Very good,Very good,14,16,16,16,0,2,3,2.5
